FullDate;DateKey;Year;Month;Day;DayOfWeek
04/07/2025;20250704;2025;7;4;Friday
05/07/2025;20250705;2025;7;5;Saturday
06/07/2025;20250706;2025;7;6;Sunday
07/07/2025;20250707;2025;7;7;Monday
08/07/2025;20250708;2025;7;8;Tuesday
09/07/2025;20250709;2025;7;9;Wednesday
10/07/2025;20250710;2025;7;10;Thursday
11/07/2025;20250711;2025;7;11;Friday
12/07/2025;20250712;2025;7;12;Saturday
13/07/2025;20250713;2025;7;13;Sunday
14/07/2025;20250714;2025;7;14;Monday
15/07/2025;20250715;2025;7;15;Tuesday
16/07/2025;20250716;2025;7;16;Wednesday
17/07/2025;20250717;2025;7;17;Thursday
18/07/2025;20250718;2025;7;18;Friday
19/07/2025;20250719;2025;7;19;Saturday
20/07/2025;20250720;2025;7;20;Sunday
21/07/2025;20250721;2025;7;21;Monday
22/07/2025;20250722;2025;7;22;Tuesday
23/07/2025;20250723;2025;7;23;Wednesday
24/07/2025;20250724;2025;7;24;Thursday
25/07/2025;20250725;2025;7;25;Friday
26/07/2025;20250726;2025;7;26;Saturday
27/07/2025;20250727;2025;7;27;Sunday
28/07/2025;20250728;2025;7;28;Monday
29/07/2025;20250729;2025;7;29;Tuesday
30/07/2025;20250730;2025;7;30;Wednesday
31/07/2025;20250731;2025;7;31;Thursday
01/08/2025;20250801;2025;8;1;Friday
02/08/2025;20250802;2025;8;2;Saturday
03/08/2025;20250803;2025;8;3;Sunday
04/08/2025;20250804;2025;8;4;Monday
05/08/2025;20250805;2025;8;5;Tuesday
06/08/2025;20250806;2025;8;6;Wednesday
07/08/2025;20250807;2025;8;7;Thursday
08/08/2025;20250808;2025;8;8;Friday
09/08/2025;20250809;2025;8;9;Saturday
10/08/2025;20250810;2025;8;10;Sunday
11/08/2025;20250811;2025;8;11;Monday
12/08/2025;20250812;2025;8;12;Tuesday
13/08/2025;20250813;2025;8;13;Wednesday
14/08/2025;20250814;2025;8;14;Thursday
15/08/2025;20250815;2025;8;15;Friday
16/08/2025;20250816;2025;8;16;Saturday
17/08/2025;20250817;2025;8;17;Sunday
18/08/2025;20250818;2025;8;18;Monday
19/08/2025;20250819;2025;8;19;Tuesday
20/08/2025;20250820;2025;8;20;Wednesday
21/08/2025;20250821;2025;8;21;Thursday
22/08/2025;20250822;2025;8;22;Friday
23/08/2025;20250823;2025;8;23;Saturday
24/08/2025;20250824;2025;8;24;Sunday
25/08/2025;20250825;2025;8;25;Monday
26/08/2025;20250826;2025;8;26;Tuesday
27/08/2025;20250827;2025;8;27;Wednesday
28/08/2025;20250828;2025;8;28;Thursday
29/08/2025;20250829;2025;8;29;Friday
30/08/2025;20250830;2025;8;30;Saturday
31/08/2025;20250831;2025;8;31;Sunday
01/09/2025;20250901;2025;9;1;Monday
02/09/2025;20250902;2025;9;2;Tuesday
03/09/2025;20250903;2025;9;3;Wednesday
04/09/2025;20250904;2025;9;4;Thursday
05/09/2025;20250905;2025;9;5;Friday
06/09/2025;20250906;2025;9;6;Saturday
07/09/2025;20250907;2025;9;7;Sunday
08/09/2025;20250908;2025;9;8;Monday
09/09/2025;20250909;2025;9;9;Tuesday
10/09/2025;20250910;2025;9;10;Wednesday
11/09/2025;20250911;2025;9;11;Thursday
12/09/2025;20250912;2025;9;12;Friday
13/09/2025;20250913;2025;9;13;Saturday
14/09/2025;20250914;2025;9;14;Sunday
15/09/2025;20250915;2025;9;15;Monday
16/09/2025;20250916;2025;9;16;Tuesday
17/09/2025;20250917;2025;9;17;Wednesday
18/09/2025;20250918;2025;9;18;Thursday
19/09/2025;20250919;2025;9;19;Friday
20/09/2025;20250920;2025;9;20;Saturday
21/09/2025;20250921;2025;9;21;Sunday
22/09/2025;20250922;2025;9;22;Monday
23/09/2025;20250923;2025;9;23;Tuesday
24/09/2025;20250924;2025;9;24;Wednesday
25/09/2025;20250925;2025;9;25;Thursday
26/09/2025;20250926;2025;9;26;Friday
27/09/2025;20250927;2025;9;27;Saturday
28/09/2025;20250928;2025;9;28;Sunday
29/09/2025;20250929;2025;9;29;Monday
30/09/2025;20250930;2025;9;30;Tuesday
01/10/2025;20251001;2025;10;1;Wednesday
02/10/2025;20251002;2025;10;2;Thursday
03/10/2025;20251003;2025;10;3;Friday
04/10/2025;20251004;2025;10;4;Saturday
05/10/2025;20251005;2025;10;5;Sunday
06/10/2025;20251006;2025;10;6;Monday
07/10/2025;20251007;2025;10;7;Tuesday
08/10/2025;20251008;2025;10;8;Wednesday
09/10/2025;20251009;2025;10;9;Thursday
10/10/2025;20251010;2025;10;10;Friday
11/10/2025;20251011;2025;10;11;Saturday
12/10/2025;20251012;2025;10;12;Sunday
13/10/2025;20251013;2025;10;13;Monday
14/10/2025;20251014;2025;10;14;Tuesday
15/10/2025;20251015;2025;10;15;Wednesday
16/10/2025;20251016;2025;10;16;Thursday
17/10/2025;20251017;2025;10;17;Friday
18/10/2025;20251018;2025;10;18;Saturday
19/10/2025;20251019;2025;10;19;Sunday
20/10/2025;20251020;2025;10;20;Monday
21/10/2025;20251021;2025;10;21;Tuesday
22/10/2025;20251022;2025;10;22;Wednesday
23/10/2025;20251023;2025;10;23;Thursday
24/10/2025;20251024;2025;10;24;Friday
25/10/2025;20251025;2025;10;25;Saturday
26/10/2025;20251026;2025;10;26;Sunday
27/10/2025;20251027;2025;10;27;Monday
28/10/2025;20251028;2025;10;28;Tuesday
29/10/2025;20251029;2025;10;29;Wednesday
30/10/2025;20251030;2025;10;30;Thursday
31/10/2025;20251031;2025;10;31;Friday
01/11/2025;20251101;2025;11;1;Saturday
02/11/2025;20251102;2025;11;2;Sunday
03/11/2025;20251103;2025;11;3;Monday
04/11/2025;20251104;2025;11;4;Tuesday
05/11/2025;20251105;2025;11;5;Wednesday
06/11/2025;20251106;2025;11;6;Thursday
07/11/2025;20251107;2025;11;7;Friday
08/11/2025;20251108;2025;11;8;Saturday
09/11/2025;20251109;2025;11;9;Sunday
10/11/2025;20251110;2025;11;10;Monday
11/11/2025;20251111;2025;11;11;Tuesday
12/11/2025;20251112;2025;11;12;Wednesday
13/11/2025;20251113;2025;11;13;Thursday
14/11/2025;20251114;2025;11;14;Friday
15/11/2025;20251115;2025;11;15;Saturday
16/11/2025;20251116;2025;11;16;Sunday
17/11/2025;20251117;2025;11;17;Monday
18/11/2025;20251118;2025;11;18;Tuesday
19/11/2025;20251119;2025;11;19;Wednesday
20/11/2025;20251120;2025;11;20;Thursday
21/11/2025;20251121;2025;11;21;Friday
22/11/2025;20251122;2025;11;22;Saturday
23/11/2025;20251123;2025;11;23;Sunday
24/11/2025;20251124;2025;11;24;Monday
25/11/2025;20251125;2025;11;25;Tuesday
26/11/2025;20251126;2025;11;26;Wednesday
27/11/2025;20251127;2025;11;27;Thursday
28/11/2025;20251128;2025;11;28;Friday
01/12/2025;20251201;2025;12;1;Monday
02/12/2025;20251202;2025;12;2;Tuesday
03/12/2025;20251203;2025;12;3;Wednesday
04/12/2025;20251204;2025;12;4;Thursday
05/12/2025;20251205;2025;12;5;Friday
06/12/2025;20251206;2025;12;6;Saturday
07/12/2025;20251207;2025;12;7;Sunday
08/12/2025;20251208;2025;12;8;Monday
09/12/2025;20251209;2025;12;9;Tuesday
10/12/2025;20251210;2025;12;10;Wednesday
11/12/2025;20251211;2025;12;11;Thursday
12/12/2025;20251212;2025;12;12;Friday
13/12/2025;20251213;2025;12;13;Saturday
14/12/2025;20251214;2025;12;14;Sunday
15/12/2025;20251215;2025;12;15;Monday
16/12/2025;20251216;2025;12;16;Tuesday
17/12/2025;20251217;2025;12;17;Wednesday
18/12/2025;20251218;2025;12;18;Thursday
19/12/2025;20251219;2025;12;19;Friday
